章节,人物
Chapter30,"杜慎卿, 季葦蕭, 鮑廷璽, 葦兄"
Chapter31,"韋四, 杜少卿, 鮑廷璽, 王鬍子"
Chapter32,"杜少卿, 王鬍子, 張俊民, 鮑廷璽"
Chapter33,"杜少卿, 遲衡山, 季葦蕭"
Chapter34,"莊紹光, 杜少卿, 遲衡山, 季葦蕭"
Chapter35,"莊徵君, 盧信侯, 莊尚志, 遲衡山"
Chapter36,"杜少卿, 祁太公, 莊徵君"
Chapter37,"金東崖, 杜少卿, 遲均贊, 杜儀"
Chapter38,"郭孝子, 尤公, 杜少卿, 武書"
Chapter39,"蕭雲仙, 少保, 郭孝子, 木耐, 蕭昊軒"
Chapter40,"蕭雲仙, 木耐, 沈瓊枝, 宋為富"
Chapter41,"沈瓊枝, 杜少卿, 莊紹光, 莊濯江"
Chapter42,"王義安, 鮑廷璽, 葛來官, 嚴世兄"
Chapter43,"馮君瑞, 臧歧, 湯鎮臺, 雷太守"
Chapter44,"蕭柏泉, 杜少卿, 湯鎮臺"
Chapter45,"余二, 余持, 余殷, 張雲峰"
Chapter46,"虞華軒, 杜少卿, 唐二棒椎"
Chapter47,"虞華軒, 方老六"
Chapter48,"王玉輝, 鄧質夫"
Chapter49,"萬中書, 高翰林, 秦中書, 遲衡山"
Chapter50,"鳳四, 秦中書, 萬中書, 高翰林, 施御史"
