稱呼,城市,章節出現次數,同行出現人物匯總
山塘,蘇州,Chapter48:1,王玉輝
虎邱,蘇州,Chapter48:4,王玉輝
鄧尉山,蘇州,Chapter48:3,王玉輝
蘇州,蘇州,"Chapter36:1,Chapter45:1,Chapter48:3","王玉輝,祁太公,鄧質夫"
廣武山,南京,Chapter40:6,"木耐,沈瓊枝,蕭雲仙"
揚州,揚州,"Chapter30:3,Chapter34:1,Chapter35:2,Chapter37:1,Chapter40:2,Chapter41:3,Chapter42:2,Chapter44:4,Chapter47:1,Chapter48:1,Chapter49:3","嚴世兄,季葦蕭,方老六,杜少卿,杜慎卿,沈瓊枝,湯鎮臺,王玉輝,秦中書,莊徵君,萬中書,葛來官,葦兄,蕭柏泉,蕭雲仙,虞華軒,遲衡山,鄧質夫,高翰林,鮑廷璽"
施家巷,南京,Chapter44:1,
明月嶺,揚州,Chapter39:2,"少保,蕭雲仙"
楊州,揚州,Chapter49:1,"萬中書,遲衡山,高翰林"
江都,揚州,"Chapter35:1,Chapter40:1,Chapter41:5,Chapter43:1,Chapter50:1","宋為富,施御史,杜少卿,沈瓊枝,秦中書,臧歧,莊徵君,莊濯江,高翰林"
烏衣,揚州,"Chapter31:2,Chapter33:1","杜少卿,韋四,鮑廷璽"
蓮花橋,揚州,Chapter41:1,"杜少卿,莊濯江,莊紹光"
鈔關,揚州,"Chapter35:1,Chapter40:2","沈瓊枝,莊徵君,蕭雲仙"
馬頭,揚州,"Chapter34:1,Chapter40:1,Chapter41:1","杜少卿,沈瓊枝,莊紹光,蕭雲仙"
西湖,杭州,"Chapter33:1,Chapter34:1,Chapter35:1,Chapter48:1","季葦蕭,杜少卿,王玉輝,莊徵君,遲衡山"
杭州,杭州,,
杭,杭州,,
三山街,南京,Chapter34:1,"季葦蕭,杜少卿,遲衡山"
三山門,南京,Chapter46:1,
上江,南京,"Chapter43:1,Chapter48:1","王玉輝,臧歧,鄧質夫"
下浮橋,南京,"Chapter34:1,Chapter44:1","杜少卿,遲衡山"
倉巷,南京,Chapter33:3,"杜少卿,遲衡山"
儀徵,南京,"Chapter40:1,Chapter41:2,Chapter42:1,Chapter43:1,Chapter44:3,Chapter46:1","杜少卿,沈瓊枝,湯鎮臺,臧歧,蕭柏泉"
元武湖,南京,"Chapter35:3,Chapter36:3,Chapter48:1","杜少卿,王玉輝,莊尚志,莊徵君,鄧質夫"
元武閣,南京,Chapter47:4,虞華軒
利涉橋,南京,"Chapter36:1,Chapter37:1,Chapter40:1,Chapter41:2,Chapter44:1","杜少卿,沈瓊枝,蕭雲仙"
南京,南京,"Chapter30:1,Chapter31:8,Chapter32:2,Chapter33:8,Chapter34:5,Chapter35:6,Chapter36:9,Chapter37:2,Chapter38:2,Chapter40:4,Chapter41:13,Chapter42:5,Chapter44:3,Chapter45:7,Chapter46:4,Chapter47:1,Chapter48:8","余二,余持,余殷,季葦蕭,尤公,張俊民,張雲峰,木耐,杜少卿,杜慎卿,沈瓊枝,湯鎮臺,王玉輝,王義安,王鬍子,盧信侯,祁太公,莊尚志,莊徵君,莊濯江,莊紹光,葦兄,蕭柏泉,蕭雲仙,虞華軒,遲衡山,郭孝子,鄧質夫,韋四,鮑廷璽"
南京大邦,南京,Chapter41:1,"杜少卿,沈瓊枝"
南門,南京,"Chapter37:1,Chapter48:1","杜儀,王玉輝,鄧質夫,金東崖"
報恩寺,南京,"Chapter30:1,Chapter48:1","季葦蕭,杜慎卿,王玉輝,鄧質夫"
太平府,南京,"Chapter38:1,Chapter42:2","嚴世兄,郭孝子"
孝陵,南京,Chapter44:1,
建康,南京,,
後湖,南京,"Chapter41:1,Chapter46:1","杜少卿,莊紹光"
應天,南京,"Chapter34:1,Chapter35:1,Chapter36:2,Chapter40:1,Chapter42:1,Chapter45:2","余二,余殷,嚴世兄,張雲峰,木耐,祁太公,莊徵君,莊紹光,蕭雲仙"
應天府,南京,"Chapter34:1,Chapter35:1,Chapter36:1,Chapter40:1,Chapter42:1,Chapter45:2","余二,余殷,嚴世兄,張雲峰,木耐,莊徵君,莊紹光,蕭雲仙"
手帕巷,南京,Chapter41:2,"杜少卿,沈瓊枝"
文德橋,南京,Chapter41:1,"杜少卿,沈瓊枝"
東水關,南京,"Chapter33:1,Chapter41:1","杜少卿,沈瓊枝,遲衡山"
水西門,南京,"Chapter30:4,Chapter41:1,Chapter46:1,Chapter48:1","季葦蕭,杜少卿,杜慎卿,王玉輝,葦兄,虞華軒,鄧質夫,鮑廷璽"
江寧,南京,"Chapter37:1,Chapter50:2","杜少卿,秦中書,萬中書,鳳四"
河下,南京,"Chapter40:1,Chapter44:1","宋為富,沈瓊枝,湯鎮臺,蕭柏泉"
河房,南京,"Chapter30:1,Chapter31:1,Chapter33:14,Chapter34:5,Chapter35:1,Chapter36:2,Chapter37:4,Chapter38:2,Chapter41:8,Chapter42:2,Chapter44:2,Chapter46:4","季葦蕭,杜少卿,杜慎卿,武書,沈瓊枝,王鬍子,莊徵君,莊濯江,莊紹光,葛來官,虞華軒,遲衡山,郭孝子,鮑廷璽"
洪武街,南京,Chapter50:1,"萬中書,鳳四"
淮清橋,南京,"Chapter30:2,Chapter33:1,Chapter34:1,Chapter41:1,Chapter42:1","季葦蕭,杜少卿,杜慎卿,葦兄,遲衡山"
清涼山,南京,"Chapter33:3,Chapter35:1,Chapter41:2","杜少卿,莊徵君"
漢西門,南京,"Chapter34:1,Chapter35:1,Chapter38:1,Chapter41:1,Chapter43:1","杜少卿,武書,沈瓊枝,臧歧,莊徵君,莊紹光,郭孝子"
燕子磯,北京,"Chapter35:1,Chapter41:1","沈瓊枝,莊徵君"
狀元境,南京,Chapter33:1,"杜少卿,遲衡山"
王府塘,南京,Chapter41:7,"杜少卿,沈瓊枝"
白下,南京,,
白門,南京,"Chapter35:1,Chapter40:1","木耐,盧信侯,莊徵君,蕭雲仙"
神樂觀,南京,Chapter30:6,"季葦蕭,杜慎卿,葦兄,鮑廷璽"
秦淮,南京,"Chapter33:1,Chapter34:1,Chapter41:4","季葦蕭,杜少卿,沈瓊枝,莊濯江,莊紹光,遲衡山"
秦淮河,南京,Chapter41:3,"沈瓊枝,莊濯江"
缺口門,南京,Chapter40:1,"宋為富,沈瓊枝"
臺城,南京,Chapter35:1,莊徵君
花牌樓,南京,"Chapter30:2,Chapter40:2","季葦蕭,杜慎卿,葦兄,蕭雲仙"
莫愁湖,南京,Chapter30:5,"季葦蕭,杜慎卿,葦兄,鮑廷璽"
蕪湖縣,南京,"Chapter33:1,Chapter38:1","杜少卿,郭孝子"
進香河,南京,Chapter41:2,"杜少卿,沈瓊枝"
金陵,南京,,
釣魚巷,南京,Chapter42:1,
雞鳴寺,南京,Chapter35:1,莊徵君
靈隱觀,南京,Chapter33:1,杜少卿
鳳凰池,南京,Chapter49:1,
鷲峰寺,南京,Chapter42:3,葛來官
龍江關,南京,Chapter33:1,"季葦蕭,杜少卿,遲衡山"
京城,北京,"Chapter30:1,Chapter34:1,Chapter40:1,Chapter41:3","季葦蕭,杜少卿,杜慎卿,沈瓊枝,莊濯江,莊紹光,葦兄,蕭雲仙,遲衡山"
京師,北京,"Chapter30:1,Chapter32:1,Chapter35:3,Chapter36:1,Chapter38:2,Chapter40:1,Chapter46:1,Chapter49:3","唐二棒椎,季葦蕭,張俊民,杜少卿,杜慎卿,王鬍子,盧信侯,秦中書,莊徵君,萬中書,葦兄,蕭雲仙,虞華軒,遲衡山,郭孝子,高翰林,鮑廷璽"
北闕,北京,Chapter40:1,"木耐,蕭雲仙"
大興縣,北京,Chapter43:1,"湯鎮臺,雷太守,馮君瑞"
彰儀門,北京,Chapter35:3,"盧信侯,莊徵君"
白河口,北京,Chapter33:1,杜少卿
盧溝橋,北京,Chapter34:1,莊紹光
禁中,北京,Chapter35:1,"莊尚志,莊徵君"
北京,北京,,
